year_of_birth,sex,age,year,population,PYadj,LEadj,bau_PYadj,bau_LEadj,diff_LEadj,diff_PYadj
1949,male,63,2012,105646.53599162004,88617.4666947254,16.12176101464218,88539.9565138204,15.637115131705286,0.48464588293689204,77.51018090499565
1949,male,64,2013,104761.41177460311,87883.82968491633,15.412075030649644,87745.03578559498,14.926414111904013,0.4856609187456318,138.79389932134654
1949,male,65,2014,103799.55681440668,83923.11516101165,14.70822184368087,83720.67925450676,14.222587575880128,0.4856342678007408,202.43590650489205
1949,male,66,2015,102754.27641954091,83084.44680959605,14.041107037241149,82807.09726294508,13.556460659858997,0.4846463773821519,277.349546650963
1949,male,67,2016,101620.42834875193,82171.35256869595,13.38017728349933,81811.621475104,12.897453684447774,0.4827235990515568,359.73109359195223
1949,male,68,2017,100389.47320646062,81175.82977772428,12.725716686802276,80726.32440374809,12.245794625338219,0.47992206146405714,449.50537397619337
1949,male,69,2018,99050.82905238091,80088.56952958733,12.07816407021042,79542.0897089739,11.601864830516613,0.47629923969380705,546.4798206134292
1949,male,70,2019,97593.03002683997,75553.51493425442,11.437943823943575,74914.7106024424,10.966021564370442,0.47192225957313383,638.8043318120181
1949,male,71,2020,96002.07461118657,74306.60797562369,10.84049573236943,73560.5033750885,10.373633053000626,0.46686267936880377,746.1046005351818
1949,male,72,2021,94263.80802801343,72937.73145775317,10.252115762800067,72079.0381073734,9.790914870922508,0.4612008918775583,858.6933503797627
1949,male,73,2022,92362.45035090564,71434.6797493178,9.673473768759127,70458.94121144662,9.218425185111986,0.45504858364714096,975.738537871177
1949,male,74,2023,90284.84739446401,69786.48737758899,9.104861830767069,68689.14559154329,8.65642431054558,0.4484375202214892,1097.3417860456975
1949,male,75,2024,88016.20626476941,64712.51570048973,8.546659819647328,63540.40953653426,8.105209477568243,0.44145034207908473,1172.1061639554682
1949,male,76,2025,85544.81073443712,62838.55377612405,8.037098357663814,61543.435501785665,7.602722665964288,0.4343756916995254,1295.1182743383833
1949,male,77,2026,82859.98225855856,60800.2205687849,7.539146003374362,59380.07410419699,7.112078581349727,0.4270674220246349,1420.1464645879096
1949,male,78,2027,79954.59582922477,58590.57405327021,7.052668801177091,57044.77728584973,6.633041057467937,0.419627743709154,1545.7967674204847
1949,male,79,2028,76818.53425754703,56201.451870428595,6.577874914511062,54531.30609980626,6.165656896056187,0.41221801845487516,1670.1457706223373
1949,male,80,2029,73446.10700392032,50567.57416282389,6.11470472584513,48835.94621431844,5.710025239381647,0.4046794864634835,1731.6279485054474
1949,male,81,2030,69831.73061862975,47970.72279036662,5.707057234561129,46120.34401011806,5.310154894489145,0.3969023400719838,1850.3787802485604
1949,male,82,2031,65975.33701842991,45200.097515462025,5.31354558356678,43232.91633254452,4.924727365043175,0.3888182185236051,1967.1811829175058
1949,male,83,2032,61882.11392119204,42262.11878912526,4.934590041833915,40182.857282286546,4.5541102954343495,0.3804797463995655,2079.2615068387167
1949,male,84,2033,57566.635138544945,39170.24154698135,4.5703686467138365,36987.549822740664,4.198359476377066,0.3720091703367707,2182.6917242406853
1949,male,85,2034,53053.717196543905,33113.38436849269,4.220825884027351,31056.117670742853,3.857207926772729,0.3636179572546223,2057.2666977498375
1949,male,86,2035,48387.67173042552,30057.574336467096,3.943506922209765,27927.30071773831,3.586884173293203,0.3566227489165623,2130.2736187287846
1949,male,87,2036,43629.217510992166,26961.469374003278,3.6846763076045796,24775.997381702564,3.3354880251076913,0.3491882824968884,2185.471992300714
1949,male,88,2037,38855.56500748132,23878.925549297248,3.4434726321008258,21661.337952490354,3.1022606383399123,0.3412119937609135,2217.587596806894
1949,male,89,2038,34154.02521726569,20868.25830628846,3.2183365931115016,18646.31038193263,2.8857869595565444,0.33254963355495715,2221.947924355827
1949,male,90,2039,29614.580282527557,17987.047789766417,3.0069948654659906,15791.901936717111,2.68398950178679,0.32300536367920074,2195.1458530493055
1949,male,91,2040,25321.628178977768,15285.443687039799,2.8064484068888635,13150.087291859483,2.49411108962671,0.31233731726215375,2135.3563951803153
1949,male,92,2041,21347.621796909978,12796.707896080698,2.612862449331865,10751.04488605805,2.31320014994424,0.299662299387625,2045.6630100226466
1949,male,93,2042,17708.96974751082,10529.90010087628,2.427114173914343,8607.81809416636,2.142074599643476,0.2850395742708671,1922.0820067099212
1949,male,94,2043,14419.556229963138,8494.508791146565,2.2505402289214897,6729.813987545338,1.981875826506589,0.26866440241490075,1764.6948036012272
1949,male,95,2044,11492.497429715548,6701.271329816116,2.0846019530651256,5123.729076274726,1.8338568463268126,0.2507451067383131,1577.54225354139
1949,male,96,2045,8945.797768747248,5158.319763195779,1.9289516378349059,3789.668547301341,1.6977151616930772,0.23123647614182863,1368.6512158944383
1949,male,97,2046,6784.8811430161095,3864.9940976494745,1.7830366132532187,2716.4145372048683,1.5730262708591725,0.21001034239404626,1148.5795604446062
1949,male,98,2047,4997.646834210657,2808.829241961331,1.6473147603315776,1882.4292950072972,1.4593461119608924,0.18796864837068528,926.3999469540336
1949,male,99,2048,3566.139442542532,1975.6782839891619,1.5209355221093765,1258.1867587442296,1.3561826301518067,0.1647528919575698,717.4915252449323
1949,male,100,2049,2456.800593155691,1340.0778918907608,1.4035285894082281,809.2808298435278,1.2630314156259155,0.14049717378231263,530.797062047233
1949,male,101,2050,1622.8269517682088,869.4451489382323,1.2990368300091244,499.89271461656733,1.1794385673774492,0.11959826263167517,369.5524343216649
1949,male,102,2051,1025.7932915919043,539.7228388614827,1.2075208916777513,295.9936740554291,1.105065420983644,0.10245547069410743,243.72916480605363
1949,male,103,2052,619.5097091794906,320.1351909411603,1.128221206095939,167.75367665262235,1.0397804925923526,0.08844071350358629,152.38151428853797
1949,male,104,2053,357.06282281350553,181.27953744587083,1.0609023850554202,90.90692725243842,0.9839224426555252,0.07697994239989503,90.37261019343241
1949,male,105,2054,196.29411159215033,97.96876752761968,1.006292350236232,47.08243505299192,0.9388160342538807,0.06747631598235126,50.88633247462776
1949,male,106,2055,102.94138679353114,51.32638500290274,0.9671571217868504,23.658924537983548,0.9080508098348372,0.05910631195201321,27.66746046491919
