,,CHD,,,,,,,Stroke,,,,,,,Type2Diabetes,,,,,,,LungCancer,,,,,,,,HeadNeckCancer,,,,,,,,OesophagusCancer,,,,,,, ,Stomach Cancer,,,,,,,,LiverCancer,,,,,,,,ColorectalCancer,,,,,,,,PancreasCancer,,,,,,,,CervicalCancer,,,,,,,,BladderCancer,,,,,,,,KidneyCancer,,,,,,,,Leukaemia - to be completed,,,,,,,,EndometrialCancer,,,,,,,,Melanoma,,,,,,,,ThyroidCancer,,,,,,,,COPD,,,,,,,LRTI,,,
sex,age,Incidence,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remsision,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Remission,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Incidence,Case Fatality,prevalence,DR,$/prev_not1styr_notlastyr,$/incid,$death,Mortality,DR (w uncertainty),$/pYLD,DR
male,0,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,6E-06,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,1.13516404678347E-05,2.34885265118357E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,1E-05,4.3E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,4.4E-05,0,0.117917791369084,0,0,0,0,7E-06,3.8E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,6.14098753758086E-06,6.68291976134643E-06,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,1.2E-05,2.2E-05,0,0,0,0,0,,,,,0,0,0,0,0,9E-06,2.3E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,1.2E-05,2.2E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.012E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,0.000502438303532,0.000978325155753,12816.1702367449,0.000978325155753
male,1,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,6E-06,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,1.13516404678347E-05,2.34885265118357E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,1E-05,4.3E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,4.4E-05,0,0.117917791369084,0,0,0,0,7E-06,3.8E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,6.14098753758086E-06,6.68291976134643E-06,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,1.2E-05,2.2E-05,0,0,0,0,0,,,,,0,0,0,0,0,9E-06,2.3E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,1.2E-05,2.2E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.012E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,2.26834524214585E-05,0.000558919967303,12816.1702367449,0.000558919967303
male,2,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,9.7E-05,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,1.20714716846306E-05,2.43286804253774E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,1.1E-05,4.4E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,4.3E-05,0,0.117917791369084,0,0,0,0,7E-06,3.9E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,6.4963149200921E-06,7.12209961227467E-06,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,1.3E-05,2.2E-05,0,0,0,0,0,,,,,0,0,0,0,0,1E-05,2.4E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,1.3E-05,2.3E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.012E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,2.26834524214585E-05,0.000558919967303,12816.1702367449,0.000558919967303
male,3,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,0.000397,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,1.44366313969601E-05,2.70891861412999E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,1.4E-05,4.7E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,4.1E-05,0,0.117917791369084,0,0,0,0,1E-05,4.2E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,7.66381917691478E-06,8.56511912246748E-06,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,1.5E-05,2.5E-05,0,0,0,0,0,,,,,0,0,0,0,0,1.3E-05,2.7E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,1.6E-05,2.6E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.012E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,2.26834524214585E-05,0.000558919967303,12816.1702367449,0.000558919967303
male,4,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,0.000657,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,1.6493292016377E-05,2.94896258942759E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,1.6E-05,5.1E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,3.9E-05,0,0.117917791369084,0,0,0,0,1.3E-05,4.5E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,8.67904026980406E-06,9.81991869654818E-06,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,1.7E-05,2.7E-05,0,0,0,0,0,,,,,0,0,0,0,0,1.6E-05,3E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,1.8E-05,2.8E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.012E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,2.26834524214585E-05,0.000558919967303,12816.1702367449,0.000558919967303
male,5,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,0.000982,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,1.90641177906482E-05,3.24901755854961E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,1.9E-05,5.4E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,3.6E-05,0,0.117917791369084,0,0,0,0,1.6E-05,4.9E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,9.94806663591566E-06,1.1388418164149E-05,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,2E-05,3E-05,0,0,0,0,0,,,,,0,0,0,0,0,1.9E-05,3.3E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,2.1E-05,3.2E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.012E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,0,0.000184633075424,12816.1702367449,0.000184633075424
male,6,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,0.001373,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,2.21491087197736E-05,3.60908352149602E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,2.2E-05,5.9E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,3.3E-05,0,0.117917791369084,0,0,0,0,2E-05,5.3E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,1.14708982752495E-05,1.32706175252701E-05,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,2.3E-05,3.4E-05,0,0,0,0,0,,,,,0,0,0,0,0,2.4E-05,3.7E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,2.4E-05,3.5E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.013E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,0,0.000184633075424,12816.1702367449,0.000184633075424
male,7,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0.0031977642,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,0.001753,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,2.47935928245861E-05,3.93681408871874E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,2.5E-05,6.4E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,3E-05,0,0.117917791369084,0,0,0,0,2.3E-05,5.8E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,1.27807836951648E-05,1.49771052225448E-05,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,2.5E-05,3.7E-05,0,0,0,0,0,,,,,0,0,0,0,0,2.7E-05,4.1E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,2.7E-05,3.9E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.013E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,0,0.000184633075424,12816.1702367449,0.000184633075424
male,8,0,0,0,0.104668324895324,4227.90007017241,20003.2943025123,11687.7853800619,0,0.0095932925,0,0.39566165920821,2892.32334250301,21369.30363871,18580.6484845688,0,0.002059,0,0.104609231981225,0,29708.4016936231,12816.1702367449,0,0,0,0,0.324939841161505,4781.03101604953,44347.1113150972,34560.7189388794,0,2.64834049502316E-05,4.17219826639336E-05,0,0.316948161954682,4879.96012759442,50795.0060293726,43122.1123309023,0,2.6E-05,6.7E-05,0,0.283113716880835,20444.7726784545,52525.3886980153,30708.4555154244,0,0,0,0,0.261443551023218,3220.38489163031,65130.0616617015,41091.0517076821,0,0,0,0,0.145129745849739,18026.1530704945,72092.0454395176,18827.5169790238,0,0,2.8E-05,0,0.117917791369084,0,0,0,0,2.6E-05,6.1E-05,0,0.160585850203558,17605.2470490026,57574.1499296933,25899.8134082676,,,,,0,0,0,0,0,0,0,0,0.234768187271504,1292.00904570058,33821.2223265021,37103.1637105748,0,1.36239176224391E-05,1.61941813624532E-05,0,0.266807711225403,4191.88747408402,34144.7522703498,29717.7319292261,0,2.7E-05,3.8E-05,0,0,0,0,0,,,,,0,0,0,0,0,2.9E-05,4.3E-05,0,0.080543782865243,549.910020058433,4430.82994535077,33582.2652631132,0,2.8E-05,4.1E-05,0,0.13357030736808,3141.34104060485,17637.0388345283,21948.9063023375,0,6.013E-06,0,0.138257728797791,4136.98114078148,12888.0865991629,18266.0400853628,0,0.000184633075424,12816.1702367449,0.000184633075424
